LotArea,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,SalePrice
8957,8,10,2017,1919,2,573223
13818,2,4,2003,4448,1,719539
10911,8,4,1962,2123,3,553909
18162,3,4,1954,3492,1,599575
12759,6,1,1996,2442,1,550443
12024,10,2,1991,3085,4,779289
18777,3,2,1957,3504,1,607860
10057,2,9,1952,3064,0,481301
16643,2,6,1966,2720,3,498046
7288,1,8,1956,698,1,175880
15172,9,3,1960,4736,4,930541
8323,5,9,1961,2861,1,537542
8406,5,6,1963,2464,1,503775
8815,7,8,1971,3201,1,651455
12093,8,5,1969,3870,3,792336
9304,9,6,1968,3883,1,772029
10396,8,3,2021,1473,4,552289
15716,1,6,1952,4470,4,679822
3594,4,1,1973,3966,2,651627
18000,1,8,1989,610,3,253205
19608,8,5,1983,2680,2,657482
18839,7,4,2012,4588,4,913601
7410,9,2,1991,917,4,463859
7924,6,3,1965,4327,2,772381
12294,2,5,1968,2816,0,468762
14447,9,9,1978,800,3,456254
17014,4,5,1956,2159,1,459364
18359,5,7,1958,1836,3,455725
10793,8,7,1986,4893,0,887660
16914,3,4,2009,4605,1,759179
16762,9,7,2001,3926,1,840281
19278,7,5,1967,1907,4,560327
17034,9,7,1968,2139,4,624799
18287,7,5,2001,3312,4,755426
8827,5,6,2007,1248,3,404793
2741,7,5,1958,1436,3,421821
16307,8,9,1953,3579,0,706186
13296,7,9,2024,1931,0,532245
8728,5,8,1997,1323,0,363331
5787,7,6,2021,4789,4,901133
14819,9,2,1975,3954,3,837997
7286,1,1,2017,1230,2,286846
9485,10,6,2017,4643,0,918230
17959,9,1,2000,1403,4,565837
19698,1,5,1991,1782,2,378388
12048,9,6,2003,1633,2,559263
7530,8,9,1977,1341,0,431146
6300,5,7,1953,3700,4,650703
16985,6,10,2017,2768,3,637085
7664,3,2,1973,4774,2,737462
18339,5,8,2006,2131,1,526440
2705,3,9,1964,2572,3,466297
8526,4,2,1958,1780,2,407572
14293,8,9,1996,591,3,422829
2583,4,5,1968,2524,0,451386
17097,6,1,1992,1037,2,405207
4265,1,10,2008,4724,4,735351
14030,7,8,1950,4109,3,773582
7592,1,1,2004,4851,2,732540
15865,9,8,2008,2467,2,655567
4350,9,8,1974,1494,2,474786
3412,10,2,2020,4340,1,872188
10915,9,9,2012,4981,3,952076
5221,3,1,1979,3308,2,552020
18278,3,4,2011,4764,2,806048
16863,5,2,1967,663,2,307153
17111,4,2,2005,4236,4,775364
8450,2,8,1971,1064,4,305446
9202,5,3,1954,4313,1,718131
3896,8,10,1987,2155,4,585763
11851,7,10,1993,3893,1,756319
16391,2,10,1981,1641,3,370370
2157,7,5,1957,1401,4,439339
16527,8,2,1978,2176,3,596547
9268,2,8,2011,3313,2,580459
7891,2,1,2023,4901,4,811160
4900,10,7,2006,1763,2,564605
6660,7,5,2004,4461,1,810319
9084,4,5,2017,3529,3,655485
10519,9,7,2023,3988,1,836229
3795,6,1,1965,901,4,353729
11457,3,9,1982,3092,3,559169
2718,6,7,2000,1910,2,475467
7944,3,3,1986,3555,3,625005
19546,8,10,1965,1548,0,491625
17879,9,2,2005,4085,2,853904
11558,5,8,1981,3449,4,671901
7378,1,4,2019,2196,2,409806
13954,5,1,1963,4296,0,728895
4146,7,10,1993,1992,3,531771
11438,4,3,1995,4832,1,797155
19183,8,6,2010,2756,0,657431
3701,2,10,2004,4735,1,711127
3904,4,6,1990,4743,3,765146
9696,5,5,1997,550,0,292552
13784,1,9,1984,4185,3,664923
5390,10,6,1966,4763,1,883309
5340,6,4,1973,3880,0,692192
17873,5,5,1963,1874,1,439943
8433,4,4,1978,4850,1,767422
4752,1,10,1967,3386,1,493995
16608,2,4,1987,1515,2,355485
19785,4,2,2005,743,3,371229
7835,6,6,2021,3601,1,697007
15402,9,5,1953,3195,1,682929
12059,1,2,2001,2561,2,460567
14086,3,10,1963,3119,0,531667
14592,6,8,2023,4794,0,866026
8390,6,5,1956,1678,1,417163
15302,6,6,2016,2920,1,623609
10235,8,9,2015,1237,3,489912
9781,3,3,1997,3175,1,576136
12128,7,3,1996,4439,3,852832
18556,7,1,1953,4733,4,867140
17600,5,6,1977,3951,0,685870
10190,6,7,1951,4742,3,809424
9107,6,3,1971,3124,0,596331
2493,3,9,1993,3595,3,613103
2358,4,10,2011,4322,0,685062
11375,8,3,2008,4939,1,907737
2228,7,4,1950,4506,3,791533
3533,8,10,2000,3602,4,765749
18577,5,4,1976,3114,2,633009
6383,6,2,1990,2472,2,538085
14941,5,4,2024,2850,3,640996
12402,4,1,1977,4615,0,754819
8480,9,4,1967,4597,1,857780
7421,2,8,2003,2754,4,515976
6517,8,5,2002,1378,2,477111
9507,3,6,1997,3823,1,653573
14908,2,9,2003,4468,2,708096
6917,4,10,1953,1840,4,404830
8629,5,2,2004,3440,0,635090
6717,7,5,1953,3169,3,643474
10498,10,7,1975,2527,2,650746
14332,1,1,1965,751,0,202088
2943,5,8,1982,1963,2,459901
6206,7,5,2006,1650,2,494992
12121,3,4,1995,1029,2,337323
9270,6,9,1961,4252,1,723715
6346,6,2,1966,1726,3,465913
18863,6,3,1985,3535,4,743483
13127,4,10,1957,3795,4,676851
7552,6,3,2017,4664,1,835094
6438,10,5,1963,3816,1,775908
8558,8,2,2022,3854,4,818515
6966,9,6,1969,4856,2,895750
8152,7,10,1974,2936,1,615094
19505,4,1,1998,2961,0,593246
4807,1,10,2000,2077,0,341757
10267,10,6,1989,3767,1,808734
5279,6,9,1987,1588,3,445326
17650,7,10,2006,2072,1,568108
9816,7,7,1970,4970,4,903504
2318,5,9,1996,2532,4,536050
3826,10,2,1999,3269,0,728759
16245,10,7,1957,1434,4,542759
9708,2,4,1990,3654,2,602599
12441,3,8,1979,4136,2,684656
4986,10,8,2021,1117,1,484825
5446,8,5,1976,4735,2,869881
3605,9,10,1993,1136,3,481301
16203,3,5,2016,1583,1,417814
16604,1,5,1980,4476,4,719300
16622,7,10,1983,692,2,370524
6377,4,2,1974,1434,3,369731
12713,9,3,1976,1127,0,436759
8870,8,10,2000,1458,1,468512
5482,3,1,1979,3829,2,616853
6223,5,9,1987,513,4,320848
16645,5,8,2018,2213,1,544732
10670,10,10,2005,3091,1,741908
4542,1,8,1958,2804,2,432660
17412,4,7,1979,3785,1,655397
17979,7,3,1991,3498,4,758919
15229,7,8,1969,4690,2,860871
8034,10,10,1956,3246,0,703019
19536,7,4,1981,1798,2,515335
11028,6,5,2008,1958,1,506154
16182,9,6,1990,877,0,428403
16333,5,2,1994,4823,1,837936
6136,3,1,1972,4603,3,732252
14958,1,1,1980,1152,1,268250
15132,8,10,1988,1652,1,520475
19643,5,8,1995,2749,3,623678
2035,9,1,1973,4746,4,894472
5488,3,6,1959,2132,3,417133
5644,1,2,1969,3914,0,566904
16611,6,6,1989,2901,0,600208
11887,1,6,1988,2747,0,455004
6340,7,3,1970,2707,2,572600
11814,3,9,1964,817,4,297725
18145,6,5,1975,3004,3,647578
5271,9,6,1979,3640,3,774804
3506,10,10,1951,3759,4,797723
7460,7,1,2007,1419,0,432349
9430,3,7,1976,3579,0,575019
17409,6,3,2020,4148,3,808571
4890,9,6,1952,2057,1,534202
8118,6,4,1975,4793,4,836515
4955,1,8,1957,1733,2,293987
4945,1,10,1987,3042,2,486783
7469,7,10,2020,1319,2,461518
3178,9,2,1992,916,3,456493
10866,9,1,1953,3325,0,680093
4592,7,9,1954,4995,4,852164
19956,9,2,1975,3953,1,824448
8035,7,3,1979,643,0,326160
10919,8,9,1984,4453,2,839633
17800,7,10,1965,4503,3,840311
19433,1,1,1959,1766,4,373053
4659,5,4,2024,858,4,369486
9778,8,7,1978,1363,2,479270
2975,10,7,2004,3593,3,790118
12746,1,1,2016,1196,2,319742
10008,3,2,2010,2940,3,558551
2665,9,8,1971,2579,4,627909
5266,5,10,1979,3414,1,619812
6632,5,7,1978,3062,1,581092
8567,2,9,1955,3477,3,549353
11830,10,5,1988,2024,4,641362
10987,2,4,1980,3394,4,577831
13127,8,1,1972,607,2,392393
7983,9,6,2012,1359,1,505077
17257,7,9,2010,1980,0,549384
16218,5,5,2001,4226,3,782267
10017,5,8,2014,1789,2,475384
18320,6,6,2019,3992,4,801044
8366,6,2,2015,3830,4,749256
5813,1,6,1997,4806,1,700462
12115,8,2,1970,4524,3,858969
7250,5,2,1970,1199,0,341528
7577,9,8,1996,1359,2,498067
19876,9,10,1954,3202,3,731821
15097,5,8,2015,880,3,388749
7717,9,1,1953,2861,1,637472
12869,8,10,2010,1101,4,493741
10162,2,6,1974,3130,3,542114
14991,5,4,1978,1749,4,490503
7775,3,2,1998,4689,3,772707
7015,7,9,1971,1099,2,402741
16790,8,5,1963,4361,1,815299
11065,2,3,2023,2435,2,498329
17778,9,1,2001,3060,0,707255
8210,1,2,1971,1822,0,315020
17156,2,1,1957,2260,1,422440
12427,7,1,2007,3934,1,776134
17232,4,6,1988,1675,3,438314
2749,2,5,2021,2579,1,471985
19763,3,4,2010,4858,0,798997
13638,7,1,1971,1473,2,471785
6006,5,1,1979,4337,1,714856
13722,2,1,2009,4687,3,756174
6028,1,5,1987,3109,4,522849
14298,2,7,1967,2439,0,417406
2778,3,2,1989,3944,4,673542
13135,10,3,1982,2605,3,677839
7298,4,6,2013,4183,0,708778
9361,5,2,1992,2875,4,613476
4583,8,6,1967,3654,0,678015
8989,4,8,2024,3813,0,662823
14462,1,7,1961,4526,3,668212
2997,7,3,2012,3489,2,704958
13536,4,5,2018,4732,0,797862
12307,5,3,1967,2321,3,529861
19390,5,10,1996,3921,0,721485
7296,5,5,1978,3822,1,672794
8755,10,10,1977,1479,2,520385
19945,9,10,1967,2990,1,698860
2499,4,1,1995,1146,1,312801
13465,3,3,1980,2112,2,456924
7959,3,4,2021,2313,1,476174
5536,10,3,1960,759,4,436867
6550,5,2,2005,1841,4,493653
18319,3,8,1973,4298,0,676437
3595,4,10,1957,2111,3,426971
10200,6,1,1988,2949,1,618671
12276,7,2,2016,1991,1,540104
13303,10,2,1958,2028,2,578872
7427,9,7,2012,3766,1,784248
13905,5,10,1983,4537,3,784219
7166,5,8,1991,1306,2,372828
9416,5,3,2002,3450,4,695005
15820,9,5,1972,2452,4,646479
16956,3,7,1964,2146,2,453705
3512,4,8,1974,738,1,261276
8435,6,7,2013,2638,2,587700
3017,2,3,1967,1054,2,259652
16019,7,4,1976,3926,1,751776
10483,6,5,1991,2271,2,537137
14461,6,2,2014,1869,3,541587
7659,9,4,2019,4972,1,953011
19964,6,5,1988,1552,4,503386
12698,7,7,2004,3264,1,700000
16919,1,1,1993,2215,0,403426
12316,1,2,1986,2931,2,500238
18808,10,8,1983,1925,0,591456
16268,2,8,1982,2831,2,521061
18513,1,1,2002,2388,3,475701
10315,1,7,2003,3568,0,564066
10143,3,7,2005,2513,4,517206
18751,3,7,2016,566,2,291082
16455,3,10,1951,1886,0,372664
11121,1,3,1960,2073,4,402968
10932,1,1,1996,3445,2,572657
2112,7,5,1975,2938,1,604684
14037,6,6,2015,1210,1,427454
4582,4,3,2012,3818,3,673877
3103,4,8,1992,2813,2,531643
3098,5,5,2001,3664,0,643834
15694,6,2,1956,4246,2,757364
7338,4,7,1985,1663,2,400806
17420,8,7,1955,2497,3,631124
9891,3,2,2016,3322,4,645950
8416,5,3,1971,4015,4,732575
4828,1,2,1962,1097,4,251073
4896,2,6,1956,4665,0,664095
11639,1,10,1962,3998,2,595368
18586,4,1,1969,3902,2,686938
11062,9,2,1997,582,3,439166
7324,7,8,1956,544,3,343234
19455,10,6,1964,2271,1,628567
6575,7,9,2017,703,3,381792
11333,5,10,1969,1951,1,450899
11056,3,9,1951,1160,0,269998
3192,2,10,1984,3208,1,496734
6462,10,9,1961,2778,4,680373
4675,3,1,1983,4134,4,702997
2821,6,3,2005,4571,2,800168
10503,7,2,2014,885,1,411033
15615,8,4,1963,1968,1,528639
2074,7,9,2014,4455,4,830826
16625,5,3,2001,4360,4,821005
16889,10,1,1959,3004,3,737904
17370,4,1,2020,4672,2,808463
18950,3,3,1965,2653,0,492748
5607,10,8,2020,3705,3,826493
10401,2,9,1955,2647,2,465896
3456,4,7,1981,2270,4,476190
12665,7,4,1963,4855,3,868594
10216,2,9,1960,1711,4,362111
15277,10,4,1990,1971,2,622700
2068,8,6,1960,1924,1,479884
3013,2,6,2004,2475,1,430952
6402,8,6,2024,2662,2,647800
9509,3,10,1988,2417,3,488563
17695,6,10,2011,2406,0,558653
7211,8,9,2014,3614,1,738237
7770,3,1,2007,1232,0,315974
14814,10,10,2015,2224,1,655213
9633,2,7,1995,4029,4,669548
2520,3,7,1953,1754,0,318385
15366,3,10,1969,2253,3,482615
12940,4,9,1974,1637,3,412437
7537,6,1,1983,1451,4,454349
16308,3,3,2016,3322,3,635334
9856,4,8,2004,1673,1,420474
5659,10,6,1995,3483,0,760717
2689,3,8,1961,1774,2,364469
4379,2,8,2002,2465,2,460609
2210,7,3,1980,1648,1,437626
12021,10,4,1985,2351,2,652152
7510,1,3,2006,4166,4,655054
19259,4,7,2017,2388,1,535276
7650,8,2,1954,4401,1,780386
10772,6,6,2005,688,4,386517
13715,3,9,1964,2297,3,479010
5204,8,5,1974,4232,3,793023
14311,1,7,2011,4468,1,685344
9444,7,7,2004,4620,3,872033
5612,1,2,1998,3095,2,499940
19892,9,10,1950,1065,0,445497
2866,7,10,1969,727,0,310540
13968,2,7,2010,3924,4,671261
14330,6,3,1955,2440,3,565842
16530,9,1,1956,2254,0,573722
7209,2,9,1999,1692,1,366255
10439,6,4,1982,2428,3,560352
14703,1,7,1984,4972,3,742743
5458,4,9,1974,1975,3,419837
19102,6,4,1972,3111,1,642597
6219,8,6,2000,3322,0,676084
9772,3,9,1998,2343,3,471538
5348,9,4,1988,2156,4,601947
2326,5,4,1983,4534,1,747046
12094,10,10,1965,2078,1,587141
17178,8,9,2015,3884,4,840391
6573,7,9,2017,1220,3,470629
5661,2,10,2010,628,1,222682
6239,1,7,1997,2919,1,463349
9407,6,3,1966,532,4,330010
3858,7,9,1979,819,1,334792
15436,2,5,2018,1718,0,384533
9697,10,3,2022,2693,4,730251
19217,10,7,1980,4627,3,953358
8574,1,9,2024,4621,3,732949
13230,9,3,1961,1967,4,573162
14988,7,3,1980,3573,2,713002
13214,10,9,1987,4966,2,973716
3052,5,5,2013,4913,1,824032
17902,10,5,1979,4866,0,946300
13320,10,8,1994,3971,1,839776
8991,6,4,2015,886,1,377427
7386,7,7,1955,4410,3,791419
16311,2,3,1989,2437,3,483736
6496,6,8,1977,1848,2,462225
15519,9,3,2024,1827,3,602840
9482,5,3,1988,2478,3,533979
11012,8,1,1955,2773,4,650677
7405,4,2,1959,4195,1,669962
2788,7,5,1997,2743,4,617926
4446,10,6,1962,4522,2,878405
9903,6,1,2023,2617,4,642940
4039,4,4,1981,843,1,288199
7979,3,2,1994,986,1,294534
10261,5,4,1993,1493,3,429578
16887,6,5,2008,2841,4,651863
9992,10,7,2007,4137,0,859800
11919,4,1,1969,1540,4,421715
19542,2,1,2007,3203,3,613284
10354,3,4,2020,1759,3,441028
3492,1,9,2011,2508,2,442682
6643,9,8,1984,4359,3,854637
11833,1,2,2002,2629,4,484535
8111,3,8,1952,2929,3,502454
7841,1,9,1983,2760,3,477176
9785,10,3,1954,1436,3,530369
11218,10,7,1985,1852,1,577334
15883,1,5,2015,4214,1,664994
11171,7,5,2020,3416,2,723889
7735,3,6,1970,517,2,241441
11003,6,1,2023,2363,4,613303
8248,10,7,2012,762,3,489616
2081,8,3,1981,2880,2,634249
18824,2,4,2000,3482,3,624628
6993,3,7,1976,4344,1,688608
2984,10,3,1961,1713,1,511479
2780,6,7,2013,2837,3,615931
4308,9,9,1970,1084,3,446762
18555,10,4,1973,3061,4,757944
3332,4,1,1997,4801,0,744162
6484,1,9,1987,1941,2,365591
14975,7,9,2018,1853,2,549651
10428,2,7,2010,1895,1,393885
3072,6,5,1960,2631,4,548683
6870,7,7,1962,4401,2,785609
15832,9,6,2014,2962,4,760092
11715,9,2,1963,2169,4,614048
10657,6,6,1996,4299,1,766320
13693,10,7,1980,972,0,461672
18354,9,9,2022,2974,4,760433
12380,10,10,2011,1413,4,568748
9050,2,10,1996,3825,0,596589
12500,1,10,1979,4535,3,699875
11603,2,4,1996,1723,0,352874
8288,10,10,1966,1930,1,542488
6074,7,1,1994,1037,0,377977
18712,6,10,2009,3322,0,684370
4908,6,4,1958,4652,1,760289
12581,8,3,1952,4980,1,879860
2891,3,3,2015,4084,0,641774
19700,4,10,2022,4222,3,787249
6629,3,10,1987,3269,2,578957
13378,9,7,1954,2554,3,636919
2667,6,8,2015,4199,3,779343
16060,8,4,2019,3568,0,744802
2130,8,10,1959,4447,2,783195
19172,2,5,1954,1449,0,307058
2725,8,2,1969,3425,0,662687
11077,6,3,2002,2191,4,569850
3333,10,10,1953,1726,3,519565
9199,4,8,1976,892,1,308180
12860,6,9,1993,2284,4,583024
11648,2,10,1978,3076,3,536600
15317,2,3,2005,1891,3,433074
15396,9,5,2023,4289,0,864566
6703,10,10,2006,2799,3,707956
11367,8,2,1971,4960,2,913620
14499,9,7,1962,2489,4,661518
4903,6,6,2000,4988,1,849431
17930,1,8,2005,3306,1,561641
14596,7,1,1971,2059,4,573734
16230,2,1,1967,2488,4,487139
8861,10,3,2004,1694,4,604297
6667,10,8,2015,3339,2,785357
4075,5,1,1992,3167,1,592507
19834,2,9,1967,2963,3,549539
4615,1,2,2001,1809,4,369542
18150,1,5,2009,4240,3,710683
12150,3,3,2000,4737,3,794038
14349,3,4,2023,4837,0,782775
18829,3,6,1959,3903,4,683081
16612,1,5,1965,4940,0,701208
14792,6,3,1971,4797,0,828071
4612,10,4,2013,1223,2,525274
6578,8,7,1957,3142,4,672238
10922,8,1,1968,4822,3,882816
6020,6,7,2007,4244,2,770452
13346,3,4,1976,4988,0,761935
10877,10,3,2006,3238,0,747735
3548,5,9,1957,3240,1,576143
9561,2,2,1957,3928,3,619046
13850,8,5,1963,2055,2,563608
5394,3,3,1999,3127,2,545704
17128,8,7,2009,3267,2,727963
4455,8,7,1960,1171,0,397362
12620,2,1,2007,1697,0,375808
17782,3,4,1961,1641,0,358000
16750,4,1,1983,3556,1,636753
16748,9,4,2008,2068,4,634957
4287,3,8,1975,3836,3,626853
6829,3,9,2010,1226,1,335752
14968,10,7,1953,4109,3,852637
12685,4,4,2014,913,0,339553
16442,2,4,1960,1812,4,389289
15619,9,9,2023,3756,2,830867
3218,7,8,1998,528,2,350832
19799,10,5,2007,2028,3,658948
11762,1,3,2011,3834,3,621129
10093,3,10,2000,3538,0,595216
19252,4,2,2020,4488,0,775920
7550,4,10,2022,1824,3,451142
17597,8,1,1958,2584,3,635586
3255,7,9,1959,1673,3,453517
13740,1,6,1998,926,4,300568
11986,1,7,1958,3518,3,551333
11941,10,6,1969,2898,1,687907
10022,2,9,1954,2295,3,431660
6972,9,7,1988,4461,3,863176
16204,6,1,2001,1086,4,448092
7454,6,3,2011,2028,0,494076
3742,3,6,2018,1158,4,344406
3923,8,6,1972,3951,0,744107
2270,4,4,1980,2215,0,411770
16086,3,9,1987,1353,4,397891
13298,9,5,1960,2319,1,577941
13723,10,5,1993,1845,3,600936
13702,3,7,2017,2291,0,458839
7020,6,10,1981,4411,2,788057
10051,8,4,1975,3601,2,735562
3987,10,5,2001,3769,0,771440
11692,9,7,2000,2593,0,631614
10545,10,7,2009,877,1,462279
19347,7,10,1978,1289,4,486701
9571,8,2,1997,2848,0,651519
11574,7,3,1971,3851,4,761396
12834,1,8,1978,3128,3,533688
4487,7,1,1990,4878,2,848187
8923,9,9,1963,2259,0,556754
6878,5,1,1979,4416,3,771220
17812,7,1,1973,892,0,379539
8980,4,5,1968,860,0,270785
19367,10,10,2014,3450,0,786380
2387,9,2,2000,1595,0,498470
9910,8,9,1956,1758,3,505598
18872,6,1,1997,1962,1,510237
2660,3,2,1992,2966,2,520106
12254,2,9,2012,2113,1,435700
11872,8,8,2011,4225,1,834741
15173,4,9,2007,4095,3,752861
15643,3,3,2019,2990,3,609808
7250,4,1,1975,3443,4,634375
11230,7,9,2005,3514,0,713122
15994,3,4,2000,524,2,277722
18351,7,4,1994,1803,2,528305
4094,8,8,1968,2536,0,570985
16041,6,4,1956,1101,0,362419
8443,4,3,1952,1160,0,304759
16148,10,4,2013,4965,1,991476
10988,8,8,1967,3432,4,726057
12715,5,9,1983,872,0,313916
5945,2,1,2011,3195,0,535063
4864,7,1,1995,2285,3,574439
2654,3,7,1976,4023,4,659599
13815,10,4,2004,4869,0,932520
10582,8,8,1952,3561,2,712065
6863,3,6,2000,1149,0,286577
5799,9,2,1977,1479,2,497838
8414,4,8,1979,4453,2,730104
14005,3,8,2008,3505,4,662805
17293,10,6,1995,3474,0,774811
2548,5,4,2016,2333,2,512565
19018,1,1,1992,3660,3,614736
10815,6,4,1954,1815,2,449003
12762,2,9,1978,4969,2,749414
3484,7,5,1966,3919,0,700481
17022,9,5,1982,1923,0,551490
16709,4,6,2002,2448,0,511253
16872,9,7,1963,2349,2,623726
3599,9,8,1981,2476,1,593310
19288,5,4,1965,2395,0,516620
7811,1,2,1955,1191,2,254504
9406,8,8,1981,2577,2,605014
19914,10,7,2010,1198,2,563979
19461,10,2,1970,502,0,424291
5505,2,4,1952,4645,2,666046
19608,3,6,2010,3280,3,638887
8385,6,5,2011,4509,2,829688
